entry,at,order
"Your hand is 5♥, 7♠",2020-05-30T05:44:52.923Z,1.59082E+14
"-- starting hand #112 (dealer: ""JX @ 2G9coVWBct"") --",2020-05-30T05:44:52.923Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" shows a 2♠, K♣.",2020-05-30T05:44:48.704Z,1.59082E+14
-- ending hand #111 --,2020-05-30T05:44:45.376Z,1.59082E+14
"""JX @ 2G9coVWBct"" wins 80 with Two Pair, J's & 2's (hand: 3♥, 2♦)",2020-05-30T05:44:45.376Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" checks",2020-05-30T05:44:44.462Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:44:43.481Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:44:41.801Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:44:39.738Z,1.59082E+14
"river: 2♥, Q♦, 4♣, J♠ [J♦]",2020-05-30T05:44:36.563Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" checks",2020-05-30T05:44:35.651Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:44:34.673Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:44:32.443Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:44:29.837Z,1.59082E+14
"turn: 2♥, Q♦, 4♣ [J♠]",2020-05-30T05:44:27.620Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" checks",2020-05-30T05:44:26.703Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:44:23.973Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:44:21.985Z,1.59082E+14
"""JX @ 2G9coVWBct"" checks",2020-05-30T05:44:18.676Z,1.59082E+14
"flop:  [2♥, Q♦, 4♣]",2020-05-30T05:44:10.779Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:44:09.870Z,1.59082E+14
"""JX @ 2G9coVWBct"" calls with 20",2020-05-30T05:43:58.237Z,1.59082E+14
"""DARWIN @ XbHNZgHNwg"" folds",2020-05-30T05:43:56.191Z,1.59082E+14
"""Dany @ Uo7D5I9OYU"" calls with 20",2020-05-30T05:43:51.712Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 20",2020-05-30T05:43:49.909Z,1.59082E+14
"""Han @ zkpZrelbNa"" folds",2020-05-30T05:43:44.381Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" posts a big blind of 20",2020-05-30T05:43:42.618Z,1.59082E+14
"""JX @ 2G9coVWBct"" posts a small blind of 10",2020-05-30T05:43:42.618Z,1.59082E+14
"Your hand is 2♠, K♣",2020-05-30T05:43:42.618Z,1.59082E+14
"-- starting hand #111 (dealer: ""DARWIN @ XbHNZgHNwg"") --",2020-05-30T05:43:42.618Z,1.59082E+14
-- ending hand #110 --,2020-05-30T05:43:36.096Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" wins 3062 with Three of a Kind, Q's (hand: Q♣, J♣)",2020-05-30T05:43:36.096Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" calls with 506",2020-05-30T05:43:35.184Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" raises with 506",2020-05-30T05:43:30.632Z,1.59082E+14
"river: 8♥, Q♥, Q♠, 7♦ [5♦]",2020-05-30T05:43:25.074Z,1.59082E+14
"""Dawrin @ 8tZJd0LYSy"" checks",2020-05-30T05:43:24.159Z,1.59082E+14
"""ToeKnee @ 2e90LzkfW1"" checks",2020-05-30T05:43:22.414Z,1.59082E+14
